Size        | Classic     | Winorgad      | Imprv Wino   | Impv Classic
100 X 100   | 289.29400   | 347.95396     | 308.35764    | 185.55133
200 X 200   | 2249.77104  | 2667.67335    | 2386.45252   | 1452.55574
300 X 300   | 7694.16459  | 9144.59101    | 8145.12467   | 4935.43498
400 X 400   | 19090.08535 | 23198.14332   | 20572.56937  | 12945.18161
500 X 500   | 39005.07371 | 49364.15362   | 44845.09722  | 25241.92643
600 X 600   | 65456.91530 | 81830.84361   | 74260.43487  | 41960.06060
700 X 700   | 102072.69907| 129947.46137  | 112226.29603 | 65716.18597
800 X 800   | 153583.53043| 212627.15220  | 175107.29798 | 98817.42128
900 X 900   | 221113.73512| 330751.41374  | 245380.58599 | 232635.11229
1000 X 1000 | 406853.16269| 11982363.83335| 388187.53799 | 199652.61801

101 X 101  | 326.57305   | 333.71878    | 335.29170      | 204.09226
201 X 201  | 2392.49770  | 2521.40872   | 2550.49467     | 1565.36229
301 X 301  | 8099.13405  | 8669.51084   | 8660.02146     | 5329.34825
401 X 401  | 19334.84364 | 20847.18029  | 21109.95770    | 12768.70171
501 X 501  | 39099.78644 | 42218.83734  | 42990.08997    | 25950.81258
601 X 601  | 66953.78153 | 76705.70691  | 73623.31589    | 44612.77151
701 X 701  | 106413.49713| 118806.99031 | 119424.25927   | 70488.59978
801 X 801  | 158038.50412| 184507.87044 | 176529.40289   | 103068.77263
901 X 901  | 223332.16429| 4727406.52212| 280284.77335   | 151464.52729
1001 X 1001| 301034.56863| 339312.07355 | 340042.95230   | 197018.43810
