Size;gnome;opt_gnome;selection;opt_selection;shell;opt_shell
100;0,169;0,015;0,454;0,464;0,658;0,012
200;0,676;0,029;1,697;1,519;2,165;0,020
300;1,988;0,067;3,877;3,376;5,516;0,040
400;3,003;0,063;7,542;6,488;9,418;0,051
500;5,204;0,082;11,292;9,844;15,825;0,067
600;8,015;0,126;16,475;13,697;23,544;0,075
700;10,280;0,144;22,193;19,238;32,391;0,081
800;12,752;0,135;28,881;25,383;42,907;0,094
900;15,669;0,153;38,096;33,032;54,929;0,123
1000;19,415;0,172;48,975;41,408;75,065;0,170































